Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_ocupada_industria_manufacturera,Poblacion_ocupada,Tasa_de_ocupacion_industria_manufacturera
2020,4,San Luis Potosí,Hombres,154307,747866,20.63297436
2020,4,San Luis Potosí,Mujeres,95630,460064,20.78623844
2020,4,Sinaloa,Hombres,80594,782475,10.29988179
2020,4,Sinaloa,Mujeres,52935,484877,10.91720168
2020,4,Sonora,Hombres,124491,795041,15.65843774
2020,4,Sonora,Mujeres,101637,531834,19.11066235
2020,4,Tabasco,Hombres,39038,560422,6.965822184
2020,4,Tabasco,Mujeres,24149,305871,7.895158416
2020,4,Tamaulipas,Hombres,216751,918209,23.60584573
2020,4,Tamaulipas,Mujeres,150724,627054,24.03684531
2020,4,Tlaxcala,Hombres,79710,341866,23.31615311
2020,4,Tlaxcala,Mujeres,59895,228453,26.21764652
2020,4,Veracruz,Hombres,190481,2000712,9.520660645
2020,4,Veracruz,Mujeres,90374,1187922,7.607738555
2020,4,Yucatán,Hombres,109905,704385,15.60297281
2020,4,Yucatán,Mujeres,87838,426234,20.60792898
2020,4,Zacatecas,Hombres,47127,424190,11.10988001
2020,4,Zacatecas,Mujeres,30137,251030,12.00533801
2021,1,Nacional,Hombres,5687086,32671161,17.40705205
2021,1,Nacional,Mujeres,3266812,20302109,16.09099823
2021,1,Aguascalientes,Hombres,100116,360857,27.74395398
2021,1,Aguascalientes,Mujeres,48719,235035,20.72840215
2021,1,Baja California,Hombres,264680,1022533,25.88473917
2021,1,Baja California,Mujeres,198927,665201,29.90479569
2021,1,Baja California Sur,Hombres,18736,225860,8.295404233
2021,1,Baja California Sur,Mujeres,15451,157493,9.810594757
2021,1,Campeche,Hombres,21761,267095,8.147288418
2021,1,Campeche,Mujeres,14991,158925,9.432751298
2021,1,Coahuila,Hombres,269720,837300,32.21306581
2021,1,Coahuila,Mujeres,118330,509519,23.22386408
2021,1,Colima,Hombres,15199,202119,7.519827428
2021,1,Colima,Mujeres,15041,151435,9.932314194
2021,1,Chiapas,Hombres,195954,1439906,13.60880502
2021,1,Chiapas,Mujeres,71420,623719,11.45066929
2021,1,Chihuahua,Hombres,276582,989290,27.95762618
2021,1,Chihuahua,Mujeres,207473,615485,33.70886374
2021,1,Ciudad de México,Hombres,258311,2178955,11.85481114
2021,1,Ciudad de México,Mujeres,134138,1691499,7.930125882
2021,1,Durango,Hombres,87263,474551,18.3885399
2021,1,Durango,Mujeres,46289,295678,15.655206
2021,1,Guanajuato,Hombres,434450,1541905,28.17618465
2021,1,Guanajuato,Mujeres,236537,983717,24.04522845
2021,1,Guerrero,Hombres,46990,841783,5.582198738
2021,1,Guerrero,Mujeres,55271,550204,10.04554674
2021,1,Hidalgo,Hombres,127296,747911,17.02020695
2021,1,Hidalgo,Mujeres,91694,481089,19.05967503
2021,1,Jalisco,Hombres,464587,2265715,20.50509442
2021,1,Jalisco,Mujeres,215743,1469881,14.67758274
2021,1,México,Hombres,772684,4288623,18.01706515
2021,1,México,Mujeres,326076,2495659,13.06572733
2021,1,Michoacán,Hombres,148228,1238187,11.97137428
2021,1,Michoacán,Mujeres,87942,700920,12.54665297
2021,1,Morelos,Hombres,60396,479895,12.58525302
2021,1,Morelos,Mujeres,30458,326755,9.32135698
2021,1,Nayarit,Hombres,22792,388965,5.859653182
2021,1,Nayarit,Mujeres,15125,245333,6.165089898
2021,1,Nuevo León,Hombres,478888,1671629,28.64798349
2021,1,Nuevo León,Mujeres,216701,977876,22.16037616
2021,1,Oaxaca,Hombres,81165,1044482,7.770837602
2021,1,Oaxaca,Mujeres,135790,779042,17.43038244
2021,1,Puebla,Hombres,286068,1741936,16.42241736
2021,1,Puebla,Mujeres,165007,1035862,15.92943848
2021,1,Querétaro,Hombres,152334,605485,25.15900476
2021,1,Querétaro,Mujeres,72964,354855,20.56163785
2021,1,Quintana Roo,Hombres,31563,529298,5.963181421
2021,1,Quintana Roo,Mujeres,17165,314324,5.460925669
2021,1,San Luis Potosí,Hombres,167122,721089,23.17633468
2021,1,San Luis Potosí,Mujeres,112644,474656,23.73171307
2021,1,Sinaloa,Hombres,79636,816468,9.75371968
2021,1,Sinaloa,Mujeres,53600,498803,10.74572527
2021,1,Sonora,Hombres,132625,773422,17.1478184
2021,1,Sonora,Mujeres,109754,523660,20.95901921
2021,1,Tabasco,Hombres,45793,582050,7.867537153
2021,1,Tabasco,Mujeres,27530,327375,8.409316533
2021,1,Tamaulipas,Hombres,208289,922630,22.57557201
2021,1,Tamaulipas,Mujeres,143052,602904,23.72716054
2021,1,Tlaxcala,Hombres,81405,328483,24.7821044
2021,1,Tlaxcala,Mujeres,59360,222910,26.62958145
2021,1,Veracruz,Hombres,198326,2040458,9.719680582
2021,1,Veracruz,Mujeres,87444,1130648,7.733972023
2021,1,Yucatán,Hombres,110144,691383,15.93096735
2021,1,Yucatán,Mujeres,102944,457081,22.52204751
2021,1,Zacatecas,Hombres,47983,410898,11.67759395
2021,1,Zacatecas,Mujeres,33232,244566,13.58815207
2021,2,Nacional,Hombres,5576542,33577390,16.60802701
2021,2,Nacional,Mujeres,3376043,21665358,15.58267812
2021,2,Aguascalientes,Hombres,96584,361768,26.69777316
2021,2,Aguascalientes,Mujeres,48091,245633,19.57839541
2021,2,Baja California,Hombres,261959,1073704,24.39769247
2021,2,Baja California,Mujeres,172058,690783,24.90767723
2021,2,Baja California Sur,Hombres,19414,240077,8.086572225
2021,2,Baja California Sur,Mujeres,12735,167822,7.58839723
2021,2,Campeche,Hombres,21862,265849,8.2234652
2021,2,Campeche,Mujeres,16773,164524,10.19486519
2021,2,Coahuila,Hombres,276486,865450,31.94707955
2021,2,Coahuila,Mujeres,129661,530787,24.42806625
2021,2,Colima,Hombres,19231,211359,9.09873722
2021,2,Colima,Mujeres,15059,157548,9.558356818
2021,2,Chiapas,Hombres,111894,1518756,7.367477067
2021,2,Chiapas,Mujeres,77586,678717,11.43127401
