"Continent ID","Continent","Country ID","Country","Year","Trade Value","Trade Value Growth","Trade Value Growth Value","Trade Value Previous","Trade Value Current"
"af","Africa","afuga","Uganda",2021,1124757,-39.82614827151386,-744422,1869179,1124757
"af","Africa","afzaf","South Africa",2021,13704275,26.13339682828365,2839369,10864906,13704275
"af","Africa","afzmb","Zambia",2021,6196782,118.36647532058397,3358992,2837790,6196782
"af","Africa","afzwe","Zimbabwe",2021,12122262,18.380123818909862,1882146,10240116,12122262
"an","Antarctica","anatf","French South Antarctic Territory",2021,7969.000000000001,-87.60325435962851,-56314,64283,7969.000000000001
"as","Asia","asafg","Afghanistan",2021,2282517,25.19722873267341,459380,1823137,2282517
"as","Asia","asare","United Arab Emirates",2021,39717876,10.875679690724057,3895885,35821991,39717876
"as","Asia","asarm","Armenia",2021,1908757,50.88475253410358,643714,1265043,1908757
"as","Asia","asaze","Azerbaijan",2021,4830860,-8.792051556735027,-465674,5296534,4830860
"as","Asia","asbgd","Bangladesh",2021,31496965.999999996,116.2478766189086,16931752,14565213.999999996,31496965.999999996
"as","Asia","asbhr","Bahrain",2021,5709398,95.55043318474273,2789743,2919655,5709398
"as","Asia","asbrn","Brunei",2021,3145850,11.520084852893527,324968,2820882,3145850
"as","Asia","asbtn","Bhutan",2021,1103018,36.71618777531813,296224.0000000001,806793.9999999999,1103018
"as","Asia","aschn","China",2021,21471318,-32.74507207785331,-10453953,31925271,21471318
"as","Asia","ascyp","Cyprus",2021,16384617,113.67328415103148,8716547,7668070,16384617
"as","Asia","asgeo","Georgia",2021,6783205,69.73207764250947,2786786.0000000005,3996418.9999999995,6783205
"as","Asia","ashkg","Hong Kong",2021,123562808,20.289654331838086,20841748,102721060,123562808
"as","Asia","asidn","Indonesia",2021,115904568,25.993428815703012,23912018,91992550,115904568
"as","Asia","asind","India",2021,45642546,51.441363310326196,15503788,30138758,45642546
"as","Asia","asirn","Iran",2021,10834782,257.2919528055155,7802309,3032473,10834782
