encuesta,puesto,antiguedad,razon_entrada,salario_bueno,prestaciones_bueno,jornada_no_excesiva,ofrecimiento_herramientas,no_molestia_temperatura,estres_bajo,facilidad_transporte,zona_trabajo_comoda,permanencia_form_futuro,sufrido_situaciones_conflicto,molestias_puesto,sentimiento_form,edad,genero,estado_civil,municipio,nivel_escolar,personas_dependientes,categoria_molestias,categoria_sentimiento
49,ayudante general,1,ubicacion empresa,Desacuerdo,Desacuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,1,0,bien,comodo,26,masculino,soltero,apodaca,preparatoria,0,Otros,Positivo
50,ayudante general,1,prestaciones,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,NA,comodo,36,femenino,casado,apodaca,primaria,1,Otros,Positivo
51,ayudante general,11,salario,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,Desacuerdo,De Acuerdo,Neutro,De Acuerdo,0,0,transporte jornada laboral,comoda,21,femenino,soltero,apodaca,secundaria,0,Horario,Indefinido
52,ayudante general,1,otro,Neutro,Neutro,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,bien,normal,25,masculino,casado,apodaca,licenciatura,1,Otros,Neutro
53,operador,36,ambiente trabajo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,bien,contento buenas condiciones,68,masculino,casado,otro,primaria,1,Otros,Positivo
54,ayudante general,1,razones personales,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Neutro,De Acuerdo,De Acuerdo,0,1,baja estatura puede hacer todas actividades,comodo,18,femenino,soltero,apodaca,secundaria,0,Otros,Positivo
55,calidad,36,salario,Neutro,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Neutro,De Acuerdo,De Acuerdo,0,0,resoponsablidiad,siento comodo hasta momento,20,masculino,soltero,apodaca,preparatoria,0,Otros,Positivo
56,operador,1,ubicacion empresa,De Acuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,0,0,NA,comodo,53,femenino,casado,apodaca,secundaria,3,Otros,Positivo
57,administrativo,2,razones personales,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,NA,muy comodo,30,femenino,soltero,juarez,licenciatura,2,Otros,Positivo
58,supervisor,36,ubicacion empresa,De Acuerdo,De Acuerdo,Neutro,De Acuerdo,Desacuerdo,Desacuerdo,De Acuerdo,De Acuerdo,0,0,calor sabados,comodo,39,femenino,union libre,apodaca,secundaria,1,Condiciones Laborales,Positivo
59,desgajo,7,salario,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,0,0,tener herramientas trabajar favoritismo hacia hombres,comodo gusta ambiente trabajo buenos modos,49,femenino,casado,apodaca,secundaria,1,Equipamiento y Herramientas,Positivo
60,ayudante general,2,salario,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,0,0,nulo,comodo,47,femenino,union libre,juarez,secundaria,2,Otros,Positivo
61,ayudante general,15,ambiente trabajo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,Neutro,De Acuerdo,De Acuerdo,0,0,NA,comodo,36,femenino,union libre,apodaca,primaria,1,Otros,Positivo
62,ayudante general,30,ubicacion empresa,Desacuerdo,Desacuerdo,Desacuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,1,temperatura salario,comodo,26,femenino,soltero,apodaca,secundaria,1,Salario y Prestaciones,Positivo
63,asistente de produccion,36,otro,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,Desacuerdo,0,1,espacio trabajo atencion,comoda,43,femenino,soltero,monterrey,licenciatura,3,Condiciones Laborales,Indefinido
64,ayudante general,1,otro,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,Desacuerdo,De Acuerdo,0,0,calor sabados,comodo,23,femenino,soltero,juarez,secundaria,1,Condiciones Laborales,Positivo
65,ayudante general,20,otro,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,Desacuerdo,De Acuerdo,Neutro,De Acuerdo,0,0,apropian abanicos,comodo comoda,22,femenino,soltero,apodaca,preparatoria,0,Otros,Positivo
66,ayudante general,1,razones personales,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,Neutro,0,1,NA,comodo,24,femenino,soltero,apodaca,preparatoria,0,Otros,Positivo
67,ayudante general,1,ubicacion empresa,Desacuerdo,Neutro,Neutro,Neutro,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,gustaria transporte,comodo,46,femenino,casado,otro,preparatoria,0,Equipamiento y Herramientas,Positivo
68,ayudante general,1,otro,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,NA,comodo,30,masculino,union libre,apodaca,secundaria,0,Otros,Positivo
