"Continent ID","Continent","Country ID","Country","Year","Trade Value","Trade Value Growth","Trade Value Growth Value","Trade Value Previous","Trade Value Current"
"na","North America","nagrd","Grenada",2021,3363,3.0566948130277445,2534,829,3363
"na","North America","nagtm","Guatemala",2021,128648126,-0.06703071153371783,-9242936,137891062,128648126
"na","North America","nahnd","Honduras",2021,45497427,0.1823972159337945,7018457,38478970,45497427
"na","North America","nahti","Haiti",2021,137435,1.6166133577031452,84911,52524,137435
"na","North America","najam","Jamaica",2021,158679.99999999997,4.809262310086032,131364.99999999997,27315,158679.99999999997
"na","North America","nalca","Saint Lucia",2021,1875509,-0.3410471380045506,-970687,2846196,1875509
"na","North America","namaf","Saint Martin",2021,980,1.8405797101449275,635,345,980
"na","North America","namex","Mexico",2021,277469251,0.384311836532761,77030850,200438401,277469251
"na","North America","nanic","Nicaragua",2021,7274386,0.8549323051933562,3352740.9999999995,3921645.0000000005,7274386
"na","North America","napan","Panama",2021,1280776,-0.2141220158565267,-348963,1629739,1280776
"na","North America","naslv","El Salvador",2021,66731466,0.5966103794717118,24935755,41795711,66731466
"na","North America","natca","Turks and Caicos Islands",2021,6214,0.2012371931181135,1041.000000000001,5172.999999999999,6214
"na","North America","natto","Trinidad and Tobago",2021,5129021,-0.18042549628476526,-1129130,6258151,5129021
"na","North America","nausa","United States",2021,1319071812,0.19004955380754343,210654261,1108417551,1319071812
"na","North America","navct","Saint Vincent and the Grenadines",2021,623049,-0.0770054664237145,-51981,675030,623049
"na","North America","navgb","British Virgin Islands",2021,8,-0.9841897233201581,-498,506,8
"oc","Oceania","ocasm","American Samoa",2021,81.99999999999999,-0.9746051409104987,-3146.9999999999995,3228.9999999999995,81.99999999999999
"oc","Oceania","ocaus","Australia",2021,3503007,-0.18448883638918545,-792467,4295474,3503007
"oc","Oceania","ocfji","Fiji",2021,1180855,-0.14658004703420024,-202819,1383674,1180855
"oc","Oceania","ocgum","Guam",2021,31,1.0666666666666667,16,15,31
